time,x,y,z,fx,fy,fz
1711941637.9485898,0.00010195281356573105,-0.00012075621634721756,-0.29999820813536643,-0.25954697,-0.26639527,-25.0
1711941637.9642582,0.00018070265650749207,-0.00021313689649105072,-0.29999634362757205,-0.25970387,-0.2663734,-25.0
1711941637.9874983,7.090810686349869e-05,-8.178595453500748e-05,-0.2999921675771475,-0.25951988,-0.26640412,-25.0
1711941638.0050535,0.00010203570127487183,-0.00011742860078811646,-0.29998952262103556,-0.25956458,-0.2663958,-25.0
1711941638.023177,-3.156810998916626e-05,4.194676876068115e-05,-0.29998510256409644,-0.25931972,-0.2664334,-25.0
1711941638.0454383,2.396758645772934e-05,-2.2889114916324615e-05,-0.2999839402735233,-0.25944406,-0.26641685,-25.0
1711941638.063072,-0.00013178866356611252,0.00016304012387990952,-0.29997939728200435,-0.25915784,-0.26646158,-25.0
1711941638.08123,-0.0002252710983157158,0.0002748100087046623,-0.29997607618570327,-0.25900763,-0.26648688,-25.0
1711941638.0982337,-3.90494242310524e-05,5.545094609260559e-05,-0.29997545965015887,-0.25932658,-0.26643568,-25.0
1711941638.1159337,0.00010808184742927551,-0.00011754035949707031,-0.2999743290245533,-0.25961155,-0.2663912,-25.0
1711941638.139233,3.090128302574158e-05,-2.484675496816635e-05,-0.2999704845249653,-0.25953287,-0.2664054,-25.0
1711941638.156793,5.730148404836655e-05,-5.4758042097091675e-05,-0.2999676626175642,-0.25958112,-0.26639593,-25.0
1711941638.1742868,2.4405308067798615e-05,-1.479126513004303e-05,-0.29996551126241683,-0.25956163,-0.2664017,-25.0
1711941638.197123,7.217098027467728e-05,-6.9483183324337e-05,-0.2999639354646206,-0.25971627,-0.2663807,-25.0
1711941638.2150419,1.7026439309120178e-05,-2.452172338962555e-06,-0.2999615792185068,-0.25968027,-0.26638883,-25.0
1711941638.232426,-4.56739217042923e-05,7.50962644815445e-05,-0.2999581519514322,-0.25962994,-0.26639885,-25.0
1711941638.249909,-5.316641181707382e-05,8.525978773832321e-05,-0.29995723739266394,-0.25961807,-0.2663985,-25.0
1711941638.2695367,-0.00015654601156711578,0.00021019205451011658,-0.299954417347908,-0.25943556,-0.2664231,-25.0
1711941638.2906344,-0.00012439582496881485,0.0001727379858493805,-0.2999541379511356,-0.25956216,-0.26640463,-25.0
1711941638.3080995,4.972703754901886e-05,-3.231596201658249e-05,-0.2999555516988039,-0.26003042,-0.26633668,-25.0
1711941638.3257668,-8.514150977134705e-06,3.885198384523392e-05,-0.2999536331743002,-0.26003632,-0.26634058,-25.0
1711941638.3436818,0.0001163724809885025,-0.00010707788169384003,-0.29995422549545764,-0.2603616,-0.2662914,-25.0
1711941638.361077,0.00010176189243793488,-8.785072714090347e-05,-0.2999533984810114,-0.26043066,-0.2662822,-25.0
1711941638.38528,0.00018197577446699142,-0.0001802537590265274,-0.2999537710100412,-0.26067635,-0.26624638,-25.0
1711941638.4031951,8.32313671708107e-05,-6.013736128807068e-05,-0.2999519195407629,-0.26059684,-0.26626062,-25.0
1711941638.419477,0.00012309011071920395,-0.00010446086525917053,-0.2999521728605032,-0.2607594,-0.26623723,-25.0
1711941638.4364326,0.00013723690062761307,-0.00011786632239818573,-0.2999521654099226,-0.2609236,-0.26621756,-25.0
1711941638.4595008,7.191020995378494e-05,-3.788992762565613e-05,-0.29995072558522223,-0.26084462,-0.26623017,-25.0
1711941638.477842,-6.282702088356018e-05,0.00012542679905891418,-0.29994806945323943,-0.26069093,-0.26625845,-25.0
1711941638.4951627,0.00014893244951963425,-0.00012397021055221558,-0.2999493882060051,-0.26124257,-0.26617151,-25.0
1711941638.519801,0.00032771751284599304,-0.00033419299870729446,-0.2999503120779991,-0.2617411,-0.26609415,-25.0
1711941638.5362594,0.00028581731021404266,-0.0002820761874318123,-0.29994860030710696,-0.26181218,-0.2660846,-25.0
1711941638.5531018,0.0002984143793582916,-0.000295465812087059,-0.2999478217214346,-0.2619647,-0.26606447,-25.0
1711941638.570804,0.00042250752449035645,-0.0004412122070789337,-0.2999479819089174,-0.2623268,-0.26600537,-25.0
1711941638.5882843,0.0005201753228902817,-0.0005560088902711868,-0.29994806200265883,-0.26265243,-0.26595157,-25.0
1711941638.6057887,0.00050303153693676,-0.0005344226956367493,-0.2999471139162779,-0.2627319,-0.265942,-25.0
1711941638.6232545,0.00042411964386701584,-0.00043875817209482193,-0.2999450948089361,-0.26271746,-0.26594785,-25.0
1711941638.6411166,0.0005312031134963036,-0.000565333291888237,-0.2999457951635122,-0.26300964,-0.26590022,-25.0
1711941638.663487,0.00043732766062021255,-0.0004518497735261917,-0.2999436270445585,-0.26298827,-0.2659079,-25.0
1711941638.6817715,0.0005708876997232437,-0.0006091631948947906,-0.29994458630681037,-0.26336548,-0.26584408,-25.0
1711941638.6987069,0.0005786335095763206,-0.000616610050201416,-0.2999439679086208,-0.26359123,-0.26581174,-25.0
1711941638.7223723,0.0007885824888944626,-0.0008649611845612526,-0.2999455977231264,-0.2641719,-0.26571444,-25.0
1711941638.7402024,0.000832623802125454,-0.00091592688113451,-0.29994570203125476,-0.26437908,-0.2656809,-25.0
1711941638.7575395,0.0009548114612698555,-0.0010587992146611214,-0.2999463800340891,-0.26482925,-0.2656062,-25.0
1711941638.78013,0.0009834887459874153,-0.001091483049094677,-0.2999464266002178,-0.26499203,-0.26557893,-25.0
1711941638.7977107,0.0011204369366168976,-0.0012531941756606102,-0.2999475348740816,-0.26538008,-0.26551202,-25.0
1711941638.8157825,0.0011340789496898651,-0.0012681316584348679,-0.29994690902531146,-0.26552215,-0.2654906,-25.0
1711941638.8329678,0.0011927150189876556,-0.0013364525511860847,-0.29994607269763945,-0.26576328,-0.26544666,-25.0
1711941638.8526373,0.001192249357700348,-0.0013351449742913246,-0.2999454952776432,-0.26587594,-0.2654281,-25.0
1711941638.8749704,0.0012658154591917992,-0.0014223027974367142,-0.2999456666409969,-0.26614657,-0.26538116,-25.0
1711941638.896799,0.001480533741414547,-0.0016775242984294891,-0.29994691647589206,-0.26673836,-0.2652718,-25.0
1711941638.914429,0.0017116386443376541,-0.0019529135897755623,-0.29994865991175174,-0.26728827,-0.26516867,-25.0
1711941638.937754,0.0017400532960891724,-0.0019865259528160095,-0.29994796887040137,-0.26748517,-0.26513508,-25.0
1711941638.9568896,0.0018036551773548126,-0.002062165178358555,-0.29994790367782115,-0.26769993,-0.2650965,-25.0
1711941638.9730227,0.0019544698297977448,-0.0022415444254875183,-0.2999479502439499,-0.26812708,-0.26501733,-25.0
1711941638.9908617,0.002155143767595291,-0.0024810107424855232,-0.2999489393085241,-0.26855466,-0.2649325,-25.0
1711941639.0135295,0.002160867676138878,-0.0024878457188606262,-0.29994756281375884,-0.2686547,-0.26491308,-25.0
1711941639.0311537,0.002295791171491146,-0.002649112604558468,-0.29994745291769503,-0.26900268,-0.26484668,-25.0
1711941639.0488253,0.002290896140038967,-0.0026432955637574196,-0.29994580075144767,-0.26909626,-0.26482964,-25.0
1711941639.0664067,0.002398114651441574,-0.0027719438076019287,-0.2999449271708727,-0.26938075,-0.26477337,-25.0
1711941639.0897057,0.0025015678256750107,-0.0028953775763511658,-0.2999444633722305,-0.26963302,-0.26472318,-25.0
1711941639.1072795,0.0027514463290572166,-0.003194139339029789,-0.2999449197202921,-0.2701436,-0.26461542,-25.0
1711941639.130119,0.002812126651406288,-0.003266841173171997,-0.29994334392249583,-0.27035668,-0.2645745,-25.0
1711941639.1477025,0.0030296212062239647,-0.0035263868048787117,-0.2999434072524309,-0.27080634,-0.2644791,-25.0
1711941639.165356,0.003104983828961849,-0.0036160731688141823,-0.29994265660643576,-0.27099267,-0.26444003,-25.0
1711941639.1826732,0.00329138757660985,-0.0038385456427931786,-0.29994243308901786,-0.27138025,-0.26435602,-25.0
1711941639.2018995,0.003331392537802458,-0.003886200487613678,-0.2999405816197395,-0.27151194,-0.2643288,-25.0
1711941639.2194817,0.003489868249744177,-0.004075922071933746,-0.2999395627528429,-0.2718068,-0.26426113,-25.0
1711941639.2365797,0.0035405801609158516,-0.0041373614221811295,-0.29993819184601306,-0.27192354,-0.26423362,-25.0
1711941639.258369,0.0036716298200190067,-0.004295234568417072,-0.2999366383999586,-0.2722029,-0.26417282,-25.0
1711941639.2760649,0.0036943950690329075,-0.004324231296777725,-0.29993373081088065,-0.27230528,-0.2641501,-25.0
1711941639.2937586,0.0039429678581655025,-0.004622241482138634,-0.29993368983268737,-0.27273694,-0.26405054,-25.0
1711941639.311356,0.004168698098510504,-0.004892613273113966,-0.2999333545565605,-0.27313864,-0.26396248,-25.0
1711941639.3366265,0.004257977940142155,-0.004999752622097731,-0.29993202835321425,-0.27329037,-0.26392847,-25.0
1711941639.3527744,0.004328334704041481,-0.00508389575406909,-0.2999294336885214,-0.2734708,-0.2638933,-25.0
1711941639.3697774,0.004530022852122784,-0.005325040314346552,-0.2999292567372322,-0.27376622,-0.26382288,-25.0
1711941639.387093,0.004685155116021633,-0.0055113285779953,-0.2999265298247337,-0.27403942,-0.26376227,-25.0
1711941639.4046955,0.004751237574964762,-0.005590484477579594,-0.29992414005100726,-0.2741847,-0.26373196,-25.0
1711941639.422493,0.004813788458704948,-0.005665432661771774,-0.2999215342104435,-0.27431113,-0.2637033,-25.0
1711941639.4396398,0.004950264934450388,-0.005828854627907276,-0.29991879053413867,-0.27453774,-0.26365077,-25.0
1711941639.4624043,0.0049925753846764565,-0.005879818461835384,-0.2999147318303585,-0.2746294,-0.26362994,-25.0
1711941639.479989,0.005164826288819313,-0.006084966007620096,-0.29991327337920665,-0.27490216,-0.2635651,-25.0
1711941639.4977603,0.005264549050480127,-0.006203307770192623,-0.2999119993299246,-0.27505332,-0.26352838,-25.0
1711941639.5154488,0.005466490983963013,-0.006443099584430456,-0.2999116864055395,-0.27534848,-0.26345715,-25.0
1711941639.5385199,0.005547818262130022,-0.0065394495613873005,-0.29990918301045894,-0.27547583,-0.2634242,-25.0
1711941639.55634,0.00572379631921649,-0.006748563144356012,-0.29990863539278506,-0.2757198,-0.26336393,-25.0
1711941639.5737395,0.0057956078089773655,-0.006834023632109165,-0.29990579672157763,-0.27583736,-0.26333576,-25.0
1711941639.5912745,0.005948006175458431,-0.00701516168192029,-0.2999044146388769,-0.27605176,-0.26328158,-25.0
1711941639.6141129,0.0060150413773953915,-0.007094600237905979,-0.299902481213212,-0.2761665,-0.2632552,-25.0
1711941639.631763,0.0061425394378602505,-0.007245303597301245,-0.2998992756009102,-0.27634913,-0.26320913,-25.0
1711941639.6550329,0.0062001654878258705,-0.007313288748264313,-0.29989711120724677,-0.27643535,-0.26318726,-25.0
1711941639.6727772,0.006310011725872755,-0.007443096023052931,-0.2998955726623535,-0.27658668,-0.26314577,-25.0
1711941639.6908982,0.00649718614295125,-0.007664013188332319,-0.2998974334448576,-0.2768218,-0.26308417,-25.0
1711941639.7134268,0.0065842061303555965,-0.0077660223469138145,-0.2998963642865419,-0.2769418,-0.26305443,-25.0
1711941639.7310164,0.00674715219065547,-0.007957989815622568,-0.2998974669724703,-0.27713093,-0.26300266,-25.0
1711941639.7486348,0.006823803298175335,-0.008047983516007662,-0.2998969528824091,-0.27721977,-0.26297846,-25.0
1711941639.77171,0.006965356646105647,-0.008215005975216627,-0.29989692866802214,-0.27737272,-0.26293504,-25.0
1711941639.7896552,0.007091160165145993,-0.008363335393369198,-0.2998977854847908,-0.2775249,-0.2628933,-25.0
1711941639.8070729,0.007154939929023385,-0.00843685120344162,-0.2998966325074434,-0.27761963,-0.2628711,-25.0
1711941639.8248944,0.0072133883368223906,-0.008504161611199379,-0.29989605881273745,-0.27769274,-0.2628534,-25.0
1711941639.847582,0.007314895978197455,-0.008622005116194487,-0.29989656917750834,-0.27779108,-0.2628231,-25.0
1711941639.865051,0.0073648307006806135,-0.008679295890033245,-0.2998961351811886,-0.27784687,-0.2628067,-25.0
1711941639.882635,0.00748926168307662,-0.008824479067698121,-0.29989694356918334,-0.2779773,-0.26277107,-25.0
1711941639.9011927,0.0075671495869755745,-0.008915257174521685,-0.29989729188382624,-0.27806157,-0.26274827,-25.0
1711941639.9194262,0.007703182520344853,-0.009074138477444649,-0.2998990334570408,-0.27822116,-0.26270613,-25.0
1711941639.936764,0.0077717730309814215,-0.00915282010100782,-0.29989914521574973,-0.27830088,-0.2626842,-25.0
